                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55341,                0.75207,                0.84564,                 0.9353,                0.87796,                0.91215,                 0.8107,                0.45968,                0.50323,                0.81163,             0.00016338,             0.00016338,             0.00016338
                     37,                0.54862,                0.73404,                0.84382,                0.92901,                0.85513,                0.91206,                0.81141,                0.46754,                0.50247,                0.81278,              0.0001609,              0.0001609,              0.0001609
                     38,                0.55187,                0.72545,                0.84827,                0.91971,                0.87202,                0.91043,                0.81235,                0.45643,                0.49629,                0.81371,             0.00015843,             0.00015843,             0.00015843
                     39,                0.55312,                0.72404,                0.84598,                0.91225,                 0.8877,                0.91523,                0.81736,                0.45531,                0.48103,                0.81202,             0.00015595,             0.00015595,             0.00015595
                     40,                0.54989,                0.74046,                0.84772,                0.94793,                 0.8723,                0.91241,                0.81428,                0.46132,                0.47901,                0.81146,             0.00015348,             0.00015348,             0.00015348
                     41,                0.54731,                0.70692,                0.84571,                0.90233,                0.90057,                0.91686,                0.82005,                0.46235,                0.48138,                0.81093,               0.000151,               0.000151,               0.000151
                     42,                0.54465,                0.70517,                0.85271,                0.92253,                0.90291,                0.91451,                0.81336,                0.45638,                0.47502,                0.81029,             0.00014853,             0.00014853,             0.00014853
                     43,                0.54421,                0.69498,                0.84239,                0.92388,                0.89617,                0.92847,                0.82836,                0.45766,                0.46978,                0.81216,             0.00014605,             0.00014605,             0.00014605
                     44,                0.55588,                0.69849,                  0.843,                 0.9179,                0.89013,                0.93986,                0.84162,                0.46591,                0.46131,                0.81141,             0.00014358,             0.00014358,             0.00014358
                     45,                0.54322,                0.67943,                0.84066,                0.94211,                0.89884,                0.92427,                0.82683,                0.45847,                0.46625,                0.81125,              0.0001411,              0.0001411,              0.0001411
                     46,                0.53542,                0.67047,                0.84285,                0.93133,                0.89691,                0.92025,                 0.8252,                0.44845,                 0.4571,                0.80881,             0.00013862,             0.00013862,             0.00013862
                     47,                0.53984,                0.68593,                 0.8433,                0.95323,                0.89645,                 0.9416,                0.84594,                0.45098,                0.45802,                 0.8103,             0.00013615,             0.00013615,             0.00013615
                     48,                  0.536,                0.66984,                0.84332,                0.94191,                0.89425,                0.94371,                0.84908,                0.45031,                0.45244,                 0.8097,             0.00013368,             0.00013368,             0.00013368
                     49,                0.52961,                0.66679,                0.84834,                0.95771,                0.89856,                0.94154,                0.83935,                0.45718,                0.45887,                 0.8097,              0.0001312,              0.0001312,              0.0001312
                     50,                0.52849,                 0.6652,                 0.8424,                0.93677,                0.89178,                0.94652,                0.85276,                0.45002,                0.43997,                0.80934,             0.00012872,             0.00012872,             0.00012872
                     51,                0.53419,                0.66137,                0.84219,                0.94158,                0.88478,                0.93955,                 0.8442,                0.45541,                0.45487,                0.81009,             0.00012625,             0.00012625,             0.00012625
                     52,                0.52836,                0.66134,                0.84002,                0.94832,                0.89666,                0.93324,                0.83773,                0.45184,                0.43792,                0.80802,             0.00012377,             0.00012377,             0.00012377
