                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.73005,                 1.5965,                0.87801,                0.55447,                0.59449,                0.62428,                0.53499,                0.56279,                 1.0659,                0.82897,             0.00016338,             0.00016338,             0.00016338
                     37,                0.72359,                 1.5203,                0.88434,                0.55607,                0.62035,                0.62351,                0.53396,                 0.5629,                 1.0277,                0.82952,              0.0001609,              0.0001609,              0.0001609
                     38,                0.71299,                 1.4803,                0.88205,                0.62651,                 0.6119,                0.64128,                0.55345,                0.58343,                 1.0345,                0.82767,             0.00015843,             0.00015843,             0.00015843
                     39,                0.70128,                 1.4555,                0.88317,                 0.6413,                0.64327,                0.64728,                0.55394,                0.56147,                 1.0193,                0.82796,             0.00015595,             0.00015595,             0.00015595
                     40,                0.70388,                 1.4658,                0.88197,                0.65001,                0.64155,                0.64816,                 0.5605,                0.54496,                0.99259,                0.82681,             0.00015348,             0.00015348,             0.00015348
                     41,                0.70803,                 1.4715,                0.88031,                0.65992,                0.64759,                0.65734,                0.57012,                0.54533,                0.97913,                 0.8247,               0.000151,               0.000151,               0.000151
                     42,                0.68951,                 1.4037,                0.87143,                0.66987,                0.63751,                0.67123,                0.57676,                0.56249,                0.95425,                0.82604,             0.00014853,             0.00014853,             0.00014853
                     43,                0.69307,                  1.426,                0.88311,                0.69035,                  0.644,                0.68956,                 0.5906,                0.54688,                0.93442,                0.82551,             0.00014605,             0.00014605,             0.00014605
                     44,                0.68842,                 1.3583,                0.87179,                0.65861,                0.65803,                0.69352,                0.59472,                0.56211,                0.91241,                0.82514,             0.00014358,             0.00014358,             0.00014358
                     45,                0.69222,                 1.3685,                0.87979,                0.66763,                0.63857,                0.69241,                0.59308,                0.56585,                0.90835,                0.82543,              0.0001411,              0.0001411,              0.0001411
                     46,                 0.6838,                 1.3466,                0.87585,                0.64906,                 0.6701,                0.69546,                0.59896,                0.55731,                0.89411,                0.82441,             0.00013862,             0.00013862,             0.00013862
                     47,                0.66852,                 1.2869,                 0.8669,                0.63615,                0.67398,                0.71385,                0.61401,                0.55778,                0.85156,                0.82315,             0.00013615,             0.00013615,             0.00013615
                     48,                 0.6651,                 1.3271,                0.87301,                0.66165,                0.71556,                0.71776,                0.61577,                0.55509,                0.82562,                0.82182,             0.00013368,             0.00013368,             0.00013368
                     49,                0.65915,                 1.2435,                0.87183,                0.66367,                0.71321,                 0.7227,                0.62229,                0.53778,                0.81262,                0.81857,              0.0001312,              0.0001312,              0.0001312
                     50,                0.66506,                 1.2524,                0.87274,                0.66701,                0.70921,                0.72758,                0.62321,                0.52868,                0.81516,                0.82123,             0.00012872,             0.00012872,             0.00012872
                     51,                 0.6589,                 1.2281,                0.86802,                0.72432,                0.67308,                0.72642,                0.62387,                0.54131,                0.80102,                0.81999,             0.00012625,             0.00012625,             0.00012625
                     52,                0.66795,                 1.2332,                0.87064,                0.73626,                0.63915,                0.71842,                0.61572,                0.54523,                0.79563,                0.81884,             0.00012377,             0.00012377,             0.00012377
                     53,                 0.6601,                 1.2091,                 0.8707,                0.74901,                0.64744,                0.71979,                0.61922,                0.52574,                0.80496,                0.81824,              0.0001213,              0.0001213,              0.0001213
                     54,                0.64588,                 1.1557,                0.86216,                0.71868,                0.66712,                0.72618,                0.62358,                0.54456,                0.79698,                0.82188,             0.00011883,             0.00011883,             0.00011883
                     55,                0.65326,                 1.1875,                0.86792,                0.63781,                 0.7416,                0.73514,                0.63324,                0.54594,                0.77391,                0.82102,             0.00011635,             0.00011635,             0.00011635
                     56,                0.65315,                 1.1809,                0.87022,                0.62197,                  0.754,                0.73639,                0.63317,                 0.5317,                0.75709,                0.82037,             0.00011387,             0.00011387,             0.00011387
                     57,                0.65955,                 1.1786,                0.86858,                0.62617,                 0.7538,                 0.7377,                0.63427,                0.54765,                0.75245,                0.82268,              0.0001114,              0.0001114,              0.0001114
                     58,                0.64958,                 1.1346,                0.86444,                0.65558,                0.74689,                0.75089,                0.64496,                0.54102,                0.72918,                0.82029,             0.00010893,             0.00010893,             0.00010893
                     59,                0.65511,                 1.1251,                0.87251,                0.72769,                 0.7211,                0.76151,                0.65191,                 0.5258,                0.70779,                0.81875,             0.00010645,             0.00010645,             0.00010645
                     60,                0.63751,                 1.1047,                0.86458,                0.72679,                0.74635,                0.76082,                0.65892,                0.53011,                0.69454,                0.81857,             0.00010398,             0.00010398,             0.00010398
                     61,                0.63599,                 1.0914,                0.86884,                0.72316,                0.75184,                  0.767,                0.66676,                0.52332,                0.70309,                0.81836,              0.0001015,              0.0001015,              0.0001015
                     62,                0.65959,                 1.1502,                0.86499,                0.70613,                0.76417,                0.77308,                0.66644,                0.53233,                0.71535,                0.81812,             9.9025e-05,             9.9025e-05,             9.9025e-05
                     63,                0.64447,                 1.1076,                0.86322,                0.71953,                0.76578,                0.77908,                0.66942,                0.52418,                0.70525,                0.81863,              9.655e-05,              9.655e-05,              9.655e-05
                     64,                0.65731,                 1.1105,                0.86003,                0.75519,                0.73254,                0.78486,                 0.6752,                0.53345,                0.69775,                 0.8198,             9.4075e-05,             9.4075e-05,             9.4075e-05
                     65,                0.65553,                 1.0931,                0.86173,                0.78573,                0.70878,                0.77674,                0.67453,                  0.533,                0.68767,                0.81902,               9.16e-05,               9.16e-05,               9.16e-05
                     66,                0.63222,                 1.1056,                0.86349,                 0.7902,                0.71235,                0.77924,                0.67708,                0.52764,                0.68984,                0.81651,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     67,                 0.6533,                 1.1191,                0.86843,                0.77157,                0.74313,                0.78383,                  0.681,                0.52328,                 0.6817,                 0.8165,              8.665e-05,              8.665e-05,              8.665e-05
                     68,                0.63572,                  1.074,                0.85964,                0.80974,                0.72223,                0.78461,                0.68356,                0.52364,                0.66439,                0.81681,             8.4175e-05,             8.4175e-05,             8.4175e-05
                     69,                0.62415,                 1.0312,                0.85979,                0.70488,                0.76116,                0.78721,                0.68282,                0.52303,                0.66033,                 0.8168,               8.17e-05,               8.17e-05,               8.17e-05
                     70,                0.62982,                 1.0851,                0.86449,                0.73318,                0.79117,                0.79424,                0.68853,                0.53262,                0.66234,                0.81796,             7.9225e-05,             7.9225e-05,             7.9225e-05
                     71,                0.61579,                 1.0439,                0.86292,                0.73135,                0.76894,                0.79004,                0.68301,                0.54885,                0.67522,                0.81859,              7.675e-05,              7.675e-05,              7.675e-05
                     72,                0.62461,                 1.0531,                0.85508,                0.75307,                0.77542,                 0.7962,                 0.6875,                0.54637,                0.67596,                0.82134,             7.4275e-05,             7.4275e-05,             7.4275e-05
                     73,                0.61675,                0.99899,                0.85724,                 0.7736,                0.75182,                0.80093,                0.69177,                0.52881,                0.66242,                0.81892,               7.18e-05,               7.18e-05,               7.18e-05
                     74,                0.63198,                 1.0485,                0.85878,                0.71566,                0.79885,                0.80401,                0.69466,                0.51995,                0.65936,                 0.8164,             6.9325e-05,             6.9325e-05,             6.9325e-05
                     75,                0.63227,                 1.0276,                0.86736,                0.74332,                 0.7916,                0.80769,                0.69774,                0.52427,                0.66432,                0.81697,              6.685e-05,              6.685e-05,              6.685e-05
                     76,                0.64543,                  1.035,                0.86407,                0.68994,                0.79833,                0.80853,                0.70165,                0.53219,                0.66118,                0.81827,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     77,                0.62806,                 1.0151,                0.85469,                0.72908,                0.79191,                0.81063,                0.70083,                0.54454,                0.65459,                0.81731,               6.19e-05,               6.19e-05,               6.19e-05
                     78,                0.63032,                 1.0266,                0.86253,                0.72591,                0.79012,                0.81404,                0.70991,                 0.5205,                0.65695,                0.81528,             5.9425e-05,             5.9425e-05,             5.9425e-05
