                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0252,                 4.5103,                 1.0622,                0.58786,                0.09398,                0.08999,                0.07674,                 0.6217,                 3.4243,                0.84214,             8.2789e-05,             8.2789e-05,             8.2789e-05
                      2,                0.79583,                 2.7682,                0.93012,                0.53234,                0.41436,                0.42479,                0.36827,                0.58874,                 1.4643,                0.89825,             0.00016448,             0.00016448,             0.00016448
                      3,                0.75187,                 1.5852,                0.93749,                0.67459,                0.66758,                0.65076,                0.56825,                0.56305,                0.92441,                0.87397,             0.00024452,             0.00024452,             0.00024452
                      4,                0.69186,                 1.1683,                0.91907,                0.82931,                0.71447,                 0.7885,                0.69131,                0.53501,                0.73538,                 0.8652,             0.00024258,             0.00024258,             0.00024258
                      5,                0.67069,                0.99836,                0.91324,                0.91326,                0.77161,                0.85992,                0.75857,                0.51367,                0.64925,                0.84493,              0.0002401,              0.0002401,              0.0002401
                      6,                0.64705,                0.88687,                0.90103,                0.90625,                0.85588,                 0.8852,                0.78158,                0.52846,                 0.5472,                0.85168,             0.00023763,             0.00023763,             0.00023763
                      7,                0.64242,                0.83059,                0.89978,                0.94662,                0.86408,                0.90087,                0.79673,                0.50752,                0.50769,                0.84426,             0.00023515,             0.00023515,             0.00023515
                      8,                0.62585,                0.78256,                0.89442,                0.96298,                0.88025,                0.91296,                0.81051,                0.49878,                0.48574,                0.84158,             0.00023268,             0.00023268,             0.00023268
                      9,                0.61403,                0.73304,                0.88853,                0.94748,                 0.8976,                0.92804,                0.82134,                0.50708,                0.47223,                0.84269,              0.0002302,              0.0002302,              0.0002302
                     10,                0.61013,                0.71636,                0.88278,                0.96695,                0.91455,                0.93823,                0.82207,                0.53151,                0.45488,                0.84597,             0.00022773,             0.00022773,             0.00022773
                     11,                0.60379,                0.69457,                0.88461,                0.96473,                0.91973,                0.92265,                0.81552,                0.51345,                0.43368,                0.84114,             0.00022525,             0.00022525,             0.00022525
                     12,                0.59662,                0.66936,                0.88327,                0.94778,                0.93214,                0.94308,                0.84071,                0.48795,                0.41135,                0.83492,             0.00022278,             0.00022278,             0.00022278
                     13,                0.59122,                0.65499,                 0.8805,                 0.9719,                0.90666,                0.93715,                0.83724,                0.48465,                0.40512,                0.83016,              0.0002203,              0.0002203,              0.0002203
                     14,                0.58511,                0.63342,                0.87936,                0.96796,                0.91564,                0.93351,                0.82503,                0.51672,                0.42056,                0.84183,             0.00021782,             0.00021782,             0.00021782
                     15,                0.58079,                0.62385,                0.87545,                0.92543,                0.95164,                0.95279,                0.84907,                0.49146,                0.40023,                0.83102,             0.00021535,             0.00021535,             0.00021535
                     16,                0.57411,                0.61829,                0.87568,                0.97375,                0.91538,                0.93269,                0.83257,                0.48863,                 0.3968,                0.83066,             0.00021288,             0.00021288,             0.00021288
                     17,                0.57122,                0.60055,                0.87221,                0.97788,                0.91293,                0.94276,                 0.8435,                0.47235,                0.38697,                0.82776,              0.0002104,              0.0002104,              0.0002104
                     18,                0.56872,                0.59866,                 0.8739,                0.97183,                0.90572,                0.93497,                0.83574,                0.47284,                 0.3807,                0.82838,             0.00020792,             0.00020792,             0.00020792
                     19,                0.55925,                0.57806,                0.86889,                0.96966,                0.91447,                0.93808,                 0.8406,                 0.4814,                0.38466,                  0.827,             0.00020545,             0.00020545,             0.00020545
