                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.122,                 4.9501,                 1.1632,                      0,                      0,                      0,                      0,                0.77348,                 4.4912,                0.85558,             8.1667e-05,             8.1667e-05,             8.1667e-05
                      2,                0.78856,                 4.1714,                0.92764,                0.02877,                0.51516,                0.06854,                0.05791,                0.66891,                 3.7283,                 0.8369,             0.00016337,             0.00016337,             0.00016337
                      3,                0.72919,                 3.5147,                0.90235,                0.61778,                0.12585,                0.15034,                 0.1249,                0.63814,                 3.2201,                0.85385,             0.00024342,             0.00024342,             0.00024342
                      4,                0.70314,                 2.8754,                0.89837,                0.79205,                0.25181,                0.27162,                0.23288,                0.61002,                 1.9649,                0.89109,             0.00024258,             0.00024258,             0.00024258
                      5,                 0.6861,                 2.2477,                0.91516,                0.48472,                0.41454,                0.40731,                0.35042,                0.63192,                 1.4444,                0.91627,              0.0002401,              0.0002401,              0.0002401
                      6,                0.65746,                 1.7925,                0.91222,                0.58686,                0.49991,                0.54699,                0.47248,                0.58078,                 1.1756,                 0.8927,             0.00023763,             0.00023763,             0.00023763
                      7,                0.64525,                 1.5128,                0.91623,                0.60887,                0.58648,                0.61517,                0.52835,                0.58076,                 1.0135,                0.88344,             0.00023515,             0.00023515,             0.00023515
                      8,                0.63676,                 1.3578,                 0.9091,                0.68372,                0.61214,                0.65495,                0.57432,                0.53842,                0.90158,                0.87383,             0.00023268,             0.00023268,             0.00023268
                      9,                0.59958,                 1.2486,                0.89802,                0.70466,                0.65303,                0.68403,                0.60613,                0.49528,                0.82379,                0.86556,              0.0002302,              0.0002302,              0.0002302
                     10,                0.59584,                  1.145,                0.89947,                0.73907,                0.71256,                0.74064,                0.65716,                0.49726,                0.73993,                0.86364,             0.00022773,             0.00022773,             0.00022773
                     11,                0.58058,                 1.0722,                0.89077,                0.79505,                0.74363,                 0.7711,                0.68443,                0.49651,                0.69492,                0.85519,             0.00022525,             0.00022525,             0.00022525
                     12,                0.57039,                 1.0095,                0.88523,                0.80661,                0.78622,                0.80235,                0.71673,                0.48967,                0.65698,                0.85743,             0.00022278,             0.00022278,             0.00022278
                     13,                0.56232,                0.96811,                0.88469,                0.84058,                0.81517,                0.82504,                0.73479,                0.48532,                0.61058,                0.85023,              0.0002203,              0.0002203,              0.0002203
                     14,                0.55534,                 0.9069,                0.88052,                0.91307,                 0.7889,                0.84062,                0.75135,                0.47086,                0.59115,                0.84773,             0.00021782,             0.00021782,             0.00021782
                     15,                0.55576,                0.89712,                0.87742,                0.91955,                0.78238,                0.85656,                0.76317,                0.47884,                0.57832,                 0.8496,             0.00021535,             0.00021535,             0.00021535
