                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.83927,                0.47209,                 1.1387,                 0.9967,                0.99448,                 0.9945,                 0.9084,                0.45531,                 0.2614,                0.84386,               0.006436,               0.006436,               0.006436
                     38,                0.83621,                0.47045,                 1.1354,                0.99517,                0.99441,                0.99443,                0.90818,                0.45784,                0.26423,                0.83653,               0.006337,               0.006337,               0.006337
                     39,                0.83451,                0.46607,                 1.1356,                0.99212,                 0.9931,                0.99447,                0.90946,                0.45473,                0.26924,                 0.8482,               0.006238,               0.006238,               0.006238
                     40,                0.83455,                0.46894,                 1.1337,                0.99697,                0.99172,                 0.9946,                0.90779,                0.45517,                0.25615,                0.83294,               0.006139,               0.006139,               0.006139
                     41,                0.83049,                0.46634,                 1.1322,                0.99585,                 0.9933,                0.99439,                0.91003,                0.45279,                0.25592,                0.82659,                0.00604,                0.00604,                0.00604
                     42,                0.82788,                0.46491,                 1.1319,                0.99654,                0.99448,                0.99463,                0.90977,                0.45345,                0.25267,                0.82778,               0.005941,               0.005941,               0.005941
                     43,                0.81737,                 0.4598,                 1.1277,                0.99636,                0.99241,                0.99432,                0.91286,                0.45228,                0.25403,                 0.8295,               0.005842,               0.005842,               0.005842
                     44,                0.82063,                 0.4606,                 1.1227,                0.99643,                 0.9931,                0.99466,                 0.9082,                0.45419,                0.26018,                0.84252,               0.005743,               0.005743,               0.005743
                     45,                0.81972,                0.45867,                  1.123,                0.99654,                0.99326,                0.99444,                0.91325,                0.44469,                0.24667,                0.82831,               0.005644,               0.005644,               0.005644
                     46,                0.81821,                0.45493,                 1.1225,                0.99586,                0.99584,                0.99464,                0.91346,                0.45392,                0.25367,                0.83131,               0.005545,               0.005545,               0.005545
                     47,                0.81392,                0.45493,                 1.1234,                0.99559,                0.99448,                0.99439,                0.91002,                0.45111,                 0.2535,                0.82475,               0.005446,               0.005446,               0.005446
                     48,                0.81077,                0.45415,                 1.1166,                0.99517,                0.99409,                0.99442,                0.91095,                0.45366,                0.24701,                0.83173,               0.005347,               0.005347,               0.005347
                     49,                0.80857,                0.45228,                 1.1173,                0.99552,                 0.9931,                0.99453,                0.90921,                0.45451,                 0.2521,                0.83084,               0.005248,               0.005248,               0.005248
                     50,                0.80468,                0.45027,                 1.1181,                0.99412,                 0.9931,                0.99423,                0.90618,                0.45652,                0.25181,                0.83533,               0.005149,               0.005149,               0.005149
                     51,                0.79671,                 0.4447,                 1.1095,                0.99569,                0.99517,                0.99444,                0.90899,                0.45442,                0.25142,                0.84016,                0.00505,                0.00505,                0.00505
                     52,                0.79292,                0.44407,                 1.1069,                0.99575,                0.99517,                0.99437,                0.90894,                0.46164,                0.24952,                0.83763,               0.004951,               0.004951,               0.004951
                     53,                0.79252,                0.44284,                 1.1092,                0.99516,                0.99517,                0.99465,                0.91489,                0.44106,                 0.2434,                0.83846,               0.004852,               0.004852,               0.004852
                     54,                0.79972,                0.44479,                 1.1097,                0.99773,                0.99448,                0.99445,                0.91373,                0.44796,                0.24093,                0.83301,               0.004753,               0.004753,               0.004753
                     55,                0.79025,                0.44256,                 1.1093,                0.99811,                 0.9931,                0.99443,                0.91481,                0.44772,                0.24063,                0.82955,               0.004654,               0.004654,               0.004654
                     56,                0.78496,                0.43651,                 1.1038,                0.99627,                 0.9931,                0.99448,                0.91115,                0.45312,                0.23956,                0.82371,               0.004555,               0.004555,               0.004555
                     57,                0.78773,                0.43719,                  1.106,                0.99585,                0.99291,                0.99443,                0.91588,                0.44655,                0.24278,                 0.8342,               0.004456,               0.004456,               0.004456
                     58,                0.78328,                0.43545,                 1.1029,                0.99515,                0.99448,                0.99445,                0.91584,                0.44296,                0.23912,                0.83593,               0.004357,               0.004357,               0.004357
                     59,                0.77248,                0.42935,                 1.0936,                0.99637,                0.99241,                0.99438,                0.91709,                0.43999,                 0.2387,                0.83167,               0.004258,               0.004258,               0.004258
                     60,                0.77486,                0.43129,                    1.1,                0.99243,                0.99491,                 0.9944,                0.91322,                0.44046,                0.24024,                0.83702,               0.004159,               0.004159,               0.004159
                     61,                0.77307,                0.42883,                 1.0925,                0.99631,                 0.9931,                0.99445,                0.91671,                0.44137,                0.23603,                0.82435,                0.00406,                0.00406,                0.00406
                     62,                0.77225,                0.42794,                 1.0945,                0.99586,                0.99429,                0.99441,                0.91892,                0.44186,                0.23042,                0.82172,               0.003961,               0.003961,               0.003961
                     63,                0.77263,                0.42619,                 1.0938,                0.99434,                0.99379,                0.99437,                0.91729,                0.44043,                0.23474,                0.82562,               0.003862,               0.003862,               0.003862
                     64,                0.76334,                0.42328,                 1.0899,                0.99792,                0.99354,                0.99433,                0.91849,                0.43905,                0.23076,                0.82727,               0.003763,               0.003763,               0.003763
                     65,                 0.7618,                0.42137,                 1.0918,                0.99723,                 0.9944,                0.99442,                0.91947,                0.43777,                0.23019,                0.82364,               0.003664,               0.003664,               0.003664
                     66,                0.75999,                0.42047,                 1.0891,                0.99654,                0.99427,                0.99447,                0.91942,                0.43841,                0.23047,                0.82169,               0.003565,               0.003565,               0.003565
                     67,                0.75538,                0.41808,                 1.0846,                0.99785,                0.99448,                0.99441,                0.91819,                0.43607,                0.22815,                0.82154,               0.003466,               0.003466,               0.003466
                     68,                0.75379,                0.41948,                 1.0873,                0.99504,                0.99448,                0.99444,                0.91915,                0.43193,                0.22918,                0.82849,               0.003367,               0.003367,               0.003367
                     69,                0.75491,                0.41893,                 1.0871,                0.99381,                 0.9958,                0.99445,                0.91752,                0.43411,                0.22652,                0.82232,               0.003268,               0.003268,               0.003268
                     70,                0.74775,                0.41425,                 1.0833,                0.99432,                0.99586,                0.99443,                0.91802,                0.43364,                0.22422,                0.82206,               0.003169,               0.003169,               0.003169
                     71,                0.74493,                0.41356,                 1.0809,                0.99497,                0.99448,                0.99443,                0.91891,                0.43777,                0.22514,                 0.8236,                0.00307,                0.00307,                0.00307
